"","Post-Invasion","Pre-Invasion"
"AMENAT",4,5
"ANISOP",5,5
"BELSPP",6,5
"CICURO",16,5
"ERISUC",4,5
"FLOC",4,20
"FUNCHR",28,5
"GAMHOL",60,7
"Green Algae",20,20
"HETFOR",14,5
"LEPMAC",19,5
"LEPMIC",8,5
"LEPPUN",5,5
"PALPAL",11,5
"POELAT",9,5
"PROFAL",5,5
