Date,Year,Season,Slough,Site,Habitat,Method,Species,ID,Length (mm),Wet mass (g),Sex,Stomach Kept,Comments,Entered By,Checked By,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG31,23.28,0.223,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG32,19.84,0.161,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG33,17.93,0.108,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG34,21.04,0.178,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG35,24.49,0.275,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG36,22.39,0.194,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG37,25.31,0.314,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG38,24.71,0.264,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG39,24.95,0.268,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG40,22.03,0.218,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG41,25.98,0.327,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG42,21.67,0.185,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG43,22.31,0.231,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG44,18.61,0.133,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG45,16.54,0.084,3,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG46,19.79,0.14,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG47,20.91,0.155,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG48,19.26,0.145,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG49,17.74,0.14,3,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG50,21.4,0.195,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,CIPVAR,CV01,22.86,0.432,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,CIPVAR,CV02,19.62,0.244,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,LUCGOO,LG51,21.95,0.193,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
