Date,Year,Slough,Site,Habitat,Species,ID,Freezer?,Tube Weight,Total Mass,Comments,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb,Entered By,Checked By
12/10/2018,2018,TSL,AH5,POND,FLOC,F23,,6.806,9.552,,Y,Y,Y,Y,Y,N,N,SS,VG
12/10/2018,2018,TSL,AH5,MARSH,FLOC,F24,,6.42,9.873,,Y,Y,Y,Y,Y,N,N,SS,VG
12/3/2018,2018,TSL,AH9,MARSH,FLOC,F25,,6.768,10.723,,Y,Y,Y,Y,Y,N,N,SS,VG
12/3/2018,2018,TSL,AH9,NEAR POND,FLOC,F26,,6.77,9.532,,Y,Y,Y,Y,Y,N,N,SS,VG
12/3/2018,2018,TSL,AH9,POND,FLOC,F27,,6.76,10.791,,Y,Y,Y,Y,Y,N,N,SS,VG
11/16/2018,2018,SRS,AH13,MARSH,FLOC,F28,,6.56,9.607,,Y,Y,Y,Y,Y,N,N,SS,VG
11/16/2018,2018,SRS,AH13,POND,FLOC,F29,,6.735,8.912,,Y,Y,Y,Y,Y,N,N,SS,VG
11/16/2018,2018,SRS,AH13,NEAR POND,FLOC,F30,,6.771,10.264,,Y,Y,Y,Y,Y,N,N,SS,VG
11/16/2018,2018,SRS,AH11,POND,FLOC,F31,,6.847,9.6,,Y,Y,Y,Y,Y,N,N,SS,VG
11/16/2018,2018,SRS,AH11,NEAR POND,FLOC,F32,,6.788,8.789,,Y,Y,Y,Y,Y,N,N,SS,VG
11/16/2018,2018,SRS,AH11,MARSH,FLOC,F33,,6.549,8.625,,Y,Y,Y,Y,Y,N,N,SS,VG
11/15/2018,2018,SRS,CATPONDB,MARSH,FLOC,F34,,,,,Y,Y,Y,Y,Y,N,N,SS,VG
12/13/2018,2018,SRS,AHWG16,NEAR POND,FLOC,F35,,,,,Y,Y,Y,Y,Y,N,N,SS,VG
3/18/2019,2019,SRS,LJB,MARSH,FLOC,F36,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
3/15/2019,2019,SRS,AH13,MARSH,FLOC,F37,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
4/29/2019,2019,TSL,AH2,MARSH,FLOC,F38,Y,,,,Y,Y,Y,Y,Y,N,N,SS,
