"Slough","Habitat","Size Class","Wet","Dry","Dry < Wet","Percent Change"
"TSL","Pond","G.hol1",0.2,0.45,0.98,-54.87
"TSL","Pond","G.hol2",0.63,0.88,0.84,-28.22
"TSL","Pond","H.for2",0.02,0.01,0.31,62.56
"TSL","Pond","L.goo1",0.14,0.01,0,1109.92
"TSL","Pond","L.goo2",0.28,0.15,0.09,88.15
"TSL","Pond","N.pet1",0.07,0.6,1,-88.71
