"Slough","Habitat","Size Class","Wet","Dry","Dry < Wet","Percent Change"
"TSL","Marsh","F.chr1",0.66,0.46,0.32,44.16
"TSL","Marsh","H.for1",0.2,0.02,0,869.08
"TSL","Marsh","H.for2",0.14,0.15,0.47,-5.13
"TSL","Marsh","L.goo1",0.12,0,0,3230.64
"TSL","Marsh","L.goo2",0.14,0.04,0,267.54
