"Season","Habitat","Size Class","TSL","SRS","TSL < SRS","Percent Change"
"Wet","Marsh","F.chr1",0.66,0.65,0.57,2.08
"Wet","Marsh","G.hol1",0.21,0.11,0.98,97.14
"Wet","Marsh","G.hol2",0.51,0.39,0.8,31.24
"Wet","Marsh","H.for1",0.2,0.17,0.54,18.56
"Wet","Marsh","H.for2",0.14,0.06,0.89,134.48
"Wet","Marsh","L.goo1",0.12,0.08,0.83,42.23
"Wet","Marsh","L.goo2",0.14,0.18,0.19,-24
