"Season","Habitat","Size Class","TSL","SRS","TSL < SRS","Percent Change"
"Dry","Pond","G.hol1",0.45,0.64,0.13,-29.79
"Dry","Pond","G.hol2",0.88,0.96,0.36,-8.75
"Dry","Pond","H.for2",0.01,0.03,0.13,-64.05
"Dry","Pond","L.goo1",0.01,0.1,0,-89.01
"Dry","Pond","L.goo2",0.15,0.18,0.36,-19.04
