"Season","Habitat","Size Class","TSL","SRS","TSL < SRS","Percent Change"
"Wet","Pond","G.hol1",0.2,0.33,0.1,-38.28
"Wet","Pond","G.hol2",0.63,0.36,0.95,74.13
"Wet","Pond","H.for2",0.02,0.1,0.04,-79.85
"Wet","Pond","L.goo1",0.14,0.08,0.94,69.03
"Wet","Pond","L.goo2",0.28,0.31,0.37,-8.45
"Wet","Pond","L.mac1",0.7,0.46,0.76,51.15
"Wet","Pond","M.sal1",1.05,0.38,0.96,174.86
"Wet","Pond","M.sia1",0.35,0.47,0.22,-25.77
"Wet","Pond","T.mar1",0.26,0.16,0.74,64.64
